Name,Rank,Number,Percent
SCHWARTZ,330,84699,0.0314
STEELE,331,84353,0.03127
BENSON,332,84233,0.03122
NEAL,333,83849,0.03108
DOMINGUEZ,334,83731,0.03104
HORTON,335,83523,0.03096
TERRY,336,83437,0.03093
WOLFE,337,83112,0.03081
HALE,338,82955,0.03075
LYONS,339,82258,0.03049
GRAVES,340,82179,0.03046
HAYNES,341,82037,0.03041
MILES,342,81933,0.03037
PARK,343,81890,0.03036
WARNER,344,81824,0.03033
PADILLA,345,81805,0.03032
BUSH,346,81524,0.03022
THORNTON,347,81191,0.0301
MCCARTHY,348,81035,0.03004
MANN,349,81022,0.03003
ZIMMERMAN,350,80944,0.03001
ERICKSON,351,80936,0.03
FLETCHER,352,80932,0.03
MCKINNEY,353,80616,0.02988
PAGE,354,80493,0.02984
DAWSON,355,80190,0.02973
JOSEPH,356,80030,0.02967
MARQUEZ,357,79951,0.02964
REEVES,358,79817,0.02959
KLEIN,359,79685,0.02954
ESPINOZA,360,79322,0.0294
BALDWIN,361,79151,0.02934
MORAN,362,78546,0.02912
LOVE,363,78323,0.02903
ROBBINS,364,78141,0.02897
HIGGINS,365,78107,0.02895
BALL,366,77561,0.02875
CORTEZ,367,77492,0.02873
LE,368,77453,0.02871
GRIFFITH,369,77429,0.0287
BOWEN,370,77078,0.02857
SHARP,371,76868,0.02849
CUMMINGS,372,76707,0.02844
RAMSEY,373,76625,0.0284
HARDY,374,76608,0.0284
SWANSON,375,76539,0.02837
BARBER,376,76504,0.02836
ACOSTA,377,76477,0.02835
LUNA,378,76127,0.02822
CHANDLER,379,76114,0.02822
BLAIR,380,75135,0.02785
DANIEL,380,75135,0.02785
CROSS,382,75134,0.02785
SIMON,383,74839,0.02774
DENNIS,384,74784,0.02772
OCONNOR,385,74756,0.02771
QUINN,386,74531,0.02763
GROSS,387,74285,0.02754
NAVARRO,388,73970,0.02742
MOSS,389,73750,0.02734
FITZGERALD,390,73522,0.02725
DOYLE,391,73518,0.02725
MCLAUGHLIN,392,73128,0.02711
ROJAS,393,73071,0.02709
RODGERS,394,73021,0.02707
STEVENSON,395,72892,0.02702
SINGH,396,72642,0.02693
YANG,397,72627,0.02692
FIGUEROA,398,72533,0.02689
HARMON,399,72414,0.02684
NEWTON,400,72328,0.02681
PAUL,401,72248,0.02678
MANNING,402,72069,0.02672
GARNER,403,72052,0.02671
MCGEE,404,71925,0.02666
REESE,405,71754,0.0266
FRANCIS,406,71723,0.02659
BURGESS,407,71604,0.02654
ADKINS,408,71528,0.02652
GOODMAN,409,71482,0.0265
CURRY,410,71344,0.02645
BRADY,411,71175,0.02638
CHRISTENSEN,412,71144,0.02637
POTTER,413,71103,0.02636
WALTON,414,70997,0.02632
GOODWIN,415,70333,0.02607
MULLINS,416,70286,0.02605
MOLINA,417,70211,0.02603
WEBSTER,418,70123,0.02599
FISCHER,419,70095,0.02598
CAMPOS,420,69950,0.02593
AVILA,421,69843,0.02589
SHERMAN,422,69840,0.02589
TODD,423,69810,0.02588
CHANG,424,69756,0.02586
BLAKE,425,69279,0.02568
MALONE,426,69257,0.02567
WOLF,427,68905,0.02554
HODGES,428,68868,0.02553
JUAREZ,429,68785,0.0255
GILL,430,68699,0.02547
FARMER,431,68309,0.02532
HINES,432,68145,0.02526
GALLAGHER,433,68075,0.02524
DURAN,434,68046,0.02522
HUBBARD,435,68021,0.02522
CANNON,436,67923,0.02518
MIRANDA,437,67646,0.02508
WANG,438,67570,0.02505
SAUNDERS,439,67210,0.02491
TATE,440,67208,0.02491
MACK,441,67154,0.02489
HAMMOND,442,67063,0.02486
CARRILLO,443,67054,0.02486
TOWNSEND,444,66853,0.02478
WISE,445,66738,0.02474
INGRAM,446,66665,0.02471
BARTON,447,66622,0.0247
MEJIA,448,66534,0.02466
AYALA,449,66515,0.02466
SCHROEDER,450,66412,0.02462
HAMPTON,451,66378,0.02461
ROWE,452,66205,0.02454
PARSONS,453,66203,0.02454
FRANK,454,65918,0.02444
WATERS,455,65817,0.0244
STRICKLAND,456,65814,0.0244
OSBORNE,457,65802,0.02439
MAXWELL,458,65779,0.02438
CHAN,459,65719,0.02436
DELEON,460,65598,0.02432
NORMAN,461,65269,0.0242
HARRINGTON,462,65131,0.02414
CASEY,463,64815,0.02403
PATTON,464,64772,0.02401
LOGAN,465,64576,0.02394
BOWERS,466,64496,0.02391
MUELLER,467,64305,0.02384
GLOVER,468,64180,0.02379
FLOYD,469,64141,0.02378
HARTMAN,470,63827,0.02366
BUCHANAN,471,63825,0.02366
COBB,472,63739,0.02363
FRENCH,473,63149,0.02341
KRAMER,474,63023,0.02336
MCCORMICK,475,62663,0.02323
CLARKE,476,62546,0.02319
TYLER,477,62534,0.02318
GIBBS,478,62514,0.02317
MOODY,479,62344,0.02311
CONNER,480,62335,0.02311
SPARKS,481,62234,0.02307
MCGUIRE,482,62116,0.02303
LEON,483,62034,0.023
BAUER,484,61979,0.02298
NORTON,485,61805,0.02291
POPE,486,61750,0.02289
FLYNN,487,61747,0.02289
HOGAN,488,61651,0.02285
ROBLES,489,61619,0.02284
SALINAS,490,61582,0.02283
YATES,491,61400,0.02276
LINDSEY,492,61199,0.02269
LLOYD,493,61154,0.02267
MARSH,494,60999,0.02261
MCBRIDE,495,60874,0.02257
OWEN,496,60461,0.02241
SOLIS,497,60045,0.02226
PHAM,498,59949,0.02222
LANG,499,59843,0.02218
PRATT,500,59801,0.02217
LARA,501,59731,0.02214
BROCK,502,59682,0.02212
